"continent","year","lifeExp"
"Africa",1952,39.1355
"Americas",1952,53.27984
"Asia",1952,46.3143939393939
"Europe",1952,64.4085
"Oceania",1952,69.255
"Africa",1957,41.2663461538462
"Americas",1957,55.96028
"Asia",1957,49.3185442424242
"Europe",1957,66.7030666666667
"Oceania",1957,70.295
"Africa",1962,43.3194423076923
"Americas",1962,58.39876
"Asia",1962,51.563223030303
"Europe",1962,68.5392333333333
"Oceania",1962,71.085
"Africa",1967,45.3345384615385
"Americas",1967,60.41092
"Asia",1967,54.66364
"Europe",1967,69.7376
"Oceania",1967,71.31
"Africa",1972,47.4509423076923
"Americas",1972,62.39492
"Asia",1972,57.3192690909091
"Europe",1972,70.7750333333333
"Oceania",1972,71.91
"Africa",1977,49.5804230769231
"Americas",1977,64.39156
"Asia",1977,59.6105563636364
"Europe",1977,71.9377666666667
"Oceania",1977,72.855
"Africa",1982,51.5928653846154
"Americas",1982,66.22884
"Asia",1982,62.6179393939394
"Europe",1982,72.8064
"Oceania",1982,74.29
"Africa",1987,53.3447884615385
"Americas",1987,68.09072
"Asia",1987,64.8511818181818
"Europe",1987,73.6421666666667
"Oceania",1987,75.32
"Africa",1992,53.6295769230769
"Americas",1992,69.56836
"Asia",1992,66.5372121212121
"Europe",1992,74.4401
"Oceania",1992,76.945
"Africa",1997,53.5982692307692
"Americas",1997,71.15048
"Asia",1997,68.0205151515152
"Europe",1997,75.5051666666667
"Oceania",1997,78.19
"Africa",2002,53.3252307692308
"Americas",2002,72.42204
"Asia",2002,69.2338787878788
"Europe",2002,76.7006
"Oceania",2002,79.74
"Africa",2007,54.8060384615385
"Americas",2007,73.60812
"Asia",2007,70.7284848484849
"Europe",2007,77.6486
"Oceania",2007,80.7195
